#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id 2	node2_external_id 2	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Eif4a1	Eef1g	5034839	5029779	ENSMUSP00000127034	ENSMUSP00000093955	0	0	0	0	0.728	0.184	0	0.670	0.920
Srsf11	Dhx9	5033621	5021623	ENSMUSP00000113685	ENSMUSP00000038135	0	0	0	0	0.062	0.199	0.900	0.062	0.920
Chd4	Brd7	5025210	5020734	ENSMUSP00000060054	ENSMUSP00000034085	0	0	0	0	0.097	0	0.900	0.195	0.920
Ddx21	Dek	5022401	5017315	ENSMUSP00000042691	ENSMUSP00000021807	0	0	0	0	0.116	0	0.900	0.175	0.920
Eef1g	Rps9	5029779	5015940	ENSMUSP00000093955	ENSMUSP00000006496	0	0	0	0	0.909	0	0	0.145	0.919
Eif5b	Eif3a	5018750	5018416	ENSMUSP00000027252	ENSMUSP00000025955	0	0	0	0	0.731	0.148	0	0.675	0.919
H2afj	Dek	5027109	5017315	ENSMUSP00000074142	ENSMUSP00000021807	0	0	0	0	0	0.118	0.900	0.165	0.919
Rpl29	Rpl35	5028103	5028024	ENSMUSP00000080203	ENSMUSP00000079672	0	0	0	0	0.481	0.428	0.720	0.147	0.919
C5ar1	Pf4	5035368	5019947	ENSMUSP00000129972	ENSMUSP00000031320	0	0	0	0	0.179	0	0.900	0.093	0.919
Dhx9	Ccar1	5021623	5016866	ENSMUSP00000038135	ENSMUSP00000020268	0	0	0	0	0.151	0	0.900	0.124	0.919
Eef1g	Rpl3	5029779	5028126	ENSMUSP00000093955	ENSMUSP00000080354	0	0	0	0	0.873	0	0	0.386	0.919
Lyz1	Cxcl2	5029183	5027242	ENSMUSP00000089800	ENSMUSP00000074885	0	0	0	0	0.125	0	0.900	0.151	0.919
U2surp	Ddx23	5027844	5015647	ENSMUSP00000078602	ENSMUSP00000003450	0	0	0	0	0.136	0.120	0.900	0.057	0.918
Kat6a	Brd7	5021633	5020734	ENSMUSP00000038181	ENSMUSP00000034085	0	0	0	0	0.062	0	0.900	0.202	0.918
Rpl41	Rpl18a	5036109	5024944	ENSMUSP00000135533	ENSMUSP00000058368	0	0	0	0	0.215	0	0.900	0	0.918
Eef1g	Rplp0	5029779	5028544	ENSMUSP00000093955	ENSMUSP00000083705	0	0	0	0	0.858	0.065	0	0.431	0.918
H2afj	Baz1b	5027109	5015577	ENSMUSP00000074142	ENSMUSP00000002825	0	0	0	0	0	0.200	0.900	0.059	0.918
Tceb2	Psmb1	5026018	5016329	ENSMUSP00000066210	ENSMUSP00000014913	0	0	0	0	0.176	0	0.900	0.073	0.917
Supt16	Tceb3	5022348	5019674	ENSMUSP00000042283	ENSMUSP00000030427	0	0	0	0	0.051	0	0.900	0.201	0.917
H2afj	Smc3	5027109	5018409	ENSMUSP00000074142	ENSMUSP00000025930	0	0	0	0	0.061	0.114	0.900	0.122	0.917
Hnrnpu	Ddx23	5023231	5015647	ENSMUSP00000047571	ENSMUSP00000003450	0	0	0	0	0.062	0.049	0.900	0.186	0.917
H2-D1	Cd14	5036038	5024683	ENSMUSP00000134570	ENSMUSP00000056669	0	0	0	0	0.134	0	0.900	0.114	0.916
Rpl41	Rps11	5036109	5015656	ENSMUSP00000135533	ENSMUSP00000003521	0	0	0	0	0.196	0	0.900	0	0.916
Uqcrq	Atp5o	5024138	5017883	ENSMUSP00000053145	ENSMUSP00000023677	0	0	0	0	0.824	0.057	0	0.536	0.916
Hspa9	Hsp90ab1	5018181	5018045	ENSMUSP00000025217	ENSMUSP00000024739	0	0	0	0	0.518	0.291	0	0.774	0.916
Clec4d	Plaur	5020210	5015517	ENSMUSP00000032240	ENSMUSP00000002284	0	0	0	0	0.203	0	0.900	0	0.916
Prpf40a	Hnrnpu	5027373	5023231	ENSMUSP00000075655	ENSMUSP00000047571	0	0	0	0	0.133	0.078	0.900	0.077	0.916
Ftl1	Lyz1	5029444	5029183	ENSMUSP00000092002	ENSMUSP00000089800	0	0	0	0	0.076	0	0.900	0.160	0.915
H2-Eb1	Ctsc	5027110	5020341	ENSMUSP00000074143	ENSMUSP00000032779	0	0	0	0	0.163	0.057	0.900	0.059	0.915
Rpl41	Rps18	5036109	5016094	ENSMUSP00000135533	ENSMUSP00000008812	0	0	0	0	0.186	0	0.900	0	0.915
Eif4b	Rps19	5034963	5031943	ENSMUSP00000127774	ENSMUSP00000104067	0	0	0	0	0.102	0.069	0.900	0.105	0.915
Ssrp1	Aff4	5027581	5023869	ENSMUSP00000076971	ENSMUSP00000051479	0	0	0	0	0	0	0.900	0.190	0.915
Golgb1	Dync1h1	5022830	5016639	ENSMUSP00000045239	ENSMUSP00000018851	0	0	0	0	0.082	0	0.900	0.155	0.915
Mrpl33	Rps11	5019850	5015656	ENSMUSP00000031024	ENSMUSP00000003521	0.172	0	0	0	0.513	0.699	0	0.383	0.915
C5ar1	Lgals3	5035368	5033731	ENSMUSP00000129972	ENSMUSP00000114350	0	0	0	0	0.095	0	0.900	0.145	0.915
Rpl41	Uba52	5036109	5034113	ENSMUSP00000135533	ENSMUSP00000120096	0	0	0	0	0.182	0	0.900	0	0.914
Kmt2e	H2afj	5029548	5027109	ENSMUSP00000092569	ENSMUSP00000074142	0	0	0	0	0	0.060	0.900	0.158	0.914
Tceb3	Supt6	5019674	5015506	ENSMUSP00000030427	ENSMUSP00000002121	0	0	0	0	0.062	0	0.900	0.161	0.914
U2surp	Hnrnpu	5027844	5023231	ENSMUSP00000078602	ENSMUSP00000047571	0	0	0	0	0.152	0	0.900	0.069	0.914
Rps16	Eef1g	5031918	5029779	ENSMUSP00000103940	ENSMUSP00000093955	0	0	0	0	0.907	0.046	0	0.102	0.914
Ddx21	Taf1d	5022401	5020851	ENSMUSP00000042691	ENSMUSP00000034415	0	0	0	0	0.184	0	0.900	0	0.914
U2surp	Snrnp70	5027844	5027114	ENSMUSP00000078602	ENSMUSP00000074160	0	0	0	0	0.124	0.049	0.900	0.089	0.913
Rbm5	Hnrnpu	5036845	5023231	ENSMUSP00000138379	ENSMUSP00000047571	0	0	0	0	0.062	0	0.900	0.152	0.913
U2surp	Dhx9	5027844	5021623	ENSMUSP00000078602	ENSMUSP00000038135	0	0	0	0	0.134	0	0.900	0.083	0.913
H2-Aa	Ctsc	5022978	5020341	ENSMUSP00000046105	ENSMUSP00000032779	0	0	0	0	0.155	0	0.900	0.059	0.913
Srsf11	Ddx23	5033621	5015647	ENSMUSP00000113685	ENSMUSP00000003450	0	0	0	0	0.149	0.067	0.900	0	0.913
Bptf	Smarca4	5031630	5020945	ENSMUSP00000102374	ENSMUSP00000034707	0	0	0	0	0.509	0.543	0	0.644	0.913
Taf1d	Dek	5020851	5017315	ENSMUSP00000034415	ENSMUSP00000021807	0	0	0	0	0.170	0	0.900	0	0.913
Aff4	Supt16	5023869	5022348	ENSMUSP00000051479	ENSMUSP00000042283	0	0	0	0	0.080	0	0.900	0.136	0.913
Uba52	Tceb2	5034113	5026018	ENSMUSP00000120096	ENSMUSP00000066210	0	0	0	0	0.157	0	0.900	0	0.912
Psme2	Tceb2	5034353	5026018	ENSMUSP00000123798	ENSMUSP00000066210	0	0	0	0	0.112	0	0.900	0.088	0.912
Myl6	Tln1	5035131	5019606	ENSMUSP00000128803	ENSMUSP00000030187	0	0	0	0	0.062	0	0.900	0.146	0.912
Mrpl33	Rps5	5019850	5015759	ENSMUSP00000031024	ENSMUSP00000004554	0.172	0	0	0	0.493	0.669	0	0.442	0.912
Cox6a1	Ndufb8	5023246	5018490	ENSMUSP00000047661	ENSMUSP00000026222	0	0	0	0	0.886	0	0	0.257	0.912
Usmg5	Ndufc1	5029742	5021679	ENSMUSP00000093713	ENSMUSP00000038463	0	0	0	0	0.871	0	0	0.351	0.912
H2-D1	Lgals3	5036038	5033731	ENSMUSP00000134570	ENSMUSP00000114350	0	0	0	0	0.104	0	0.900	0.106	0.912
Matr3	Hnrnpa2b1	5034608	5033031	ENSMUSP00000125761	ENSMUSP00000110103	0	0	0	0	0.808	0.161	0	0.491	0.911
H2afj	Smc1a	5027109	5022734	ENSMUSP00000074142	ENSMUSP00000044645	0	0	0	0	0.062	0.114	0.900	0.059	0.911
Atp5k	Cox5a	5023828	5015244	ENSMUSP00000051222	ENSMUSP00000000090	0	0	0	0	0.835	0	0	0.482	0.911
Smc3	Dync1h1	5018409	5016639	ENSMUSP00000025930	ENSMUSP00000018851	0	0	0	0	0.053	0.049	0.900	0.122	0.910
Cox6a1	Atp5j	5023246	5017869	ENSMUSP00000047661	ENSMUSP00000023608	0	0	0	0	0.896	0	0	0.170	0.910
Hmha1	Lyz2	5030368	5029184	ENSMUSP00000097100	ENSMUSP00000089801	0	0	0	0	0.143	0	0.900	0	0.910
Odc1	Psmb1	5035101	5016329	ENSMUSP00000128661	ENSMUSP00000014913	0	0	0	0	0.060	0	0.900	0.121	0.910
Iqgap1	Apbb1ip	5035041	5016294	ENSMUSP00000128278	ENSMUSP00000014290	0	0	0	0	0.143	0	0.900	0	0.910
Fcer1g	Pik3r5	5027898	5017156	ENSMUSP00000078875	ENSMUSP00000021283	0	0	0	0	0.134	0	0.900	0.049	0.910
Uqcr10	Atp5k	5024399	5023828	ENSMUSP00000054856	ENSMUSP00000051222	0	0	0	0	0.868	0	0	0.346	0.910
Cybb	Plaur	5016368	5015517	ENSMUSP00000015484	ENSMUSP00000002284	0	0	0	0	0.073	0	0.900	0.115	0.910
Eif1	Rps9	5022214	5015940	ENSMUSP00000041538	ENSMUSP00000006496	0	0	0	0	0.117	0.896	0	0.105	0.910
Socs3	Wsb1	5025071	5016532	ENSMUSP00000059129	ENSMUSP00000017821	0	0	0	0	0.074	0.061	0.900	0.085	0.909
Sart1	Ccar1	5023196	5016866	ENSMUSP00000047397	ENSMUSP00000020268	0	0	0	0	0.136	0	0.900	0	0.909
Hsp90ab1	Dync1h1	5018045	5016639	ENSMUSP00000024739	ENSMUSP00000018851	0	0	0	0	0.062	0.074	0.900	0.077	0.909
Cyba	Plaur	5016519	5015517	ENSMUSP00000017604	ENSMUSP00000002284	0	0	0	0	0.126	0	0.900	0.048	0.909
Golgb1	Tmed10	5022830	5021538	ENSMUSP00000045239	ENSMUSP00000037583	0	0	0	0	0.060	0.086	0.900	0.067	0.909
Srsf11	Srek1	5033621	5027118	ENSMUSP00000113685	ENSMUSP00000074196	0	0	0	0.750	0.810	0.544	0	0	0.909
Cd36	Clec4d	5035671	5020210	ENSMUSP00000131832	ENSMUSP00000032240	0	0	0	0	0.133	0	0.900	0	0.909
H2-D1	C5ar1	5036038	5035368	ENSMUSP00000134570	ENSMUSP00000129972	0	0	0	0	0.083	0	0.900	0.092	0.909
Gns	Ctsc	5022477	5020341	ENSMUSP00000043167	ENSMUSP00000032779	0	0	0	0	0.061	0.056	0.900	0.096	0.909
Atp5j	Ndufa1	5017869	5016461	ENSMUSP00000023608	ENSMUSP00000016571	0	0	0	0	0.866	0	0	0.344	0.908
Hmha1	Lyz1	5030368	5029183	ENSMUSP00000097100	ENSMUSP00000089800	0	0	0	0	0.123	0	0.900	0	0.908
Chd3	Taf1d	5031994	5020851	ENSMUSP00000104301	ENSMUSP00000034415	0	0	0	0	0	0	0.900	0.125	0.908
Rps16	Eif1	5031918	5022214	ENSMUSP00000103940	ENSMUSP00000041538	0	0	0	0	0.138	0.889	0	0.119	0.908
Ftl1	Ctsc	5029444	5020341	ENSMUSP00000092002	ENSMUSP00000032779	0	0	0	0	0.082	0.046	0.900	0.081	0.908
Aff4	Tceb3	5023869	5019674	ENSMUSP00000051479	ENSMUSP00000030427	0	0	0	0	0.062	0	0.900	0.106	0.908
Cd36	Cyba	5035671	5016519	ENSMUSP00000131832	ENSMUSP00000017604	0	0	0	0	0.089	0	0.900	0.078	0.908
Ccar1	Ddx23	5016866	5015647	ENSMUSP00000020268	ENSMUSP00000003450	0	0	0	0	0.123	0	0.900	0	0.908
Lyz1	Gns	5029183	5022477	ENSMUSP00000089800	ENSMUSP00000043167	0	0	0	0	0	0	0.900	0.108	0.907
Iqgap1	Tyrobp	5035041	5020344	ENSMUSP00000128278	ENSMUSP00000032800	0	0	0	0	0.090	0	0.900	0.063	0.907
Uba52	Ubxn1	5034113	5029790	ENSMUSP00000120096	ENSMUSP00000093974	0	0	0	0	0.115	0	0.900	0	0.907
Clip1	Smc1a	5032498	5022734	ENSMUSP00000107192	ENSMUSP00000044645	0	0	0	0	0.115	0	0.900	0	0.907
Tyrobp	H2-M2	5020344	5016452	ENSMUSP00000032800	ENSMUSP00000016427	0	0	0	0	0.104	0	0.900	0.045	0.906
H2afj	Rsf1	5027109	5021504	ENSMUSP00000074142	ENSMUSP00000037409	0	0	0	0	0	0.077	0.900	0.066	0.906
Iqgap1	Cd14	5035041	5024683	ENSMUSP00000128278	ENSMUSP00000056669	0	0	0	0	0.102	0	0.900	0	0.906
Sart1	Ik	5023196	5016008	ENSMUSP00000047397	ENSMUSP00000007042	0	0	0	0	0.082	0.664	0.720	0	0.906
Cd14	H2-M2	5024683	5016452	ENSMUSP00000056669	ENSMUSP00000016427	0	0	0	0	0.099	0	0.900	0	0.906
Rbm5	Sart1	5036845	5023196	ENSMUSP00000138379	ENSMUSP00000047397	0	0	0	0	0.092	0	0.900	0.057	0.906
Hmha1	Ctsc	5030368	5020341	ENSMUSP00000097100	ENSMUSP00000032779	0	0	0	0	0.104	0	0.900	0	0.906
Ssrp1	Tceb2	5027581	5026018	ENSMUSP00000076971	ENSMUSP00000066210	0	0	0	0	0.098	0	0.900	0	0.905
Smc1a	Dync1h1	5022734	5016639	ENSMUSP00000044645	ENSMUSP00000018851	0	0	0	0	0.062	0.072	0.900	0	0.905
Tceb2	Aff4	5026018	5023869	ENSMUSP00000066210	ENSMUSP00000051479	0	0	0	0	0	0	0.900	0.091	0.905
Iqgap1	Iqgap2	5035041	5026197	ENSMUSP00000128278	ENSMUSP00000067685	0	0	0	0.963	0.060	0	0.900	0.867	0.905
Lyz2	Gns	5029184	5022477	ENSMUSP00000089801	ENSMUSP00000043167	0	0	0	0	0.069	0	0.900	0.065	0.905
Aff4	Supt6	5023869	5015506	ENSMUSP00000051479	ENSMUSP00000002121	0	0	0	0	0.053	0	0.900	0.082	0.905
Eef1g	Eif5a	5029779	5023125	ENSMUSP00000093955	ENSMUSP00000047008	0	0	0	0	0.820	0.050	0	0.490	0.905
H2afj	Ddx21	5027109	5022401	ENSMUSP00000074142	ENSMUSP00000042691	0	0	0	0	0	0.077	0.900	0.047	0.904
Hectd1	Wsb1	5036330	5016532	ENSMUSP00000136449	ENSMUSP00000017821	0	0	0	0	0.061	0	0.900	0.067	0.904
Cxcl2	Cstb	5027242	5015818	ENSMUSP00000074885	ENSMUSP00000005185	0	0	0	0	0.067	0	0.900	0.061	0.904
Psap	Pf4	5031402	5019947	ENSMUSP00000101105	ENSMUSP00000031320	0	0	0	0	0	0	0.900	0.083	0.904
C5ar1	Psap	5035368	5031402	ENSMUSP00000129972	ENSMUSP00000101105	0	0	0	0	0.079	0	0.900	0	0.904
Ndufb7	Atp5j	5021491	5017869	ENSMUSP00000037341	ENSMUSP00000023608	0	0	0	0	0.824	0	0	0.477	0.904
Lgals3	Iqgap2	5033731	5026197	ENSMUSP00000114350	ENSMUSP00000067685	0	0	0	0	0.049	0	0.900	0.072	0.904
Gns	Dync1h1	5022477	5016639	ENSMUSP00000043167	ENSMUSP00000018851	0	0	0	0	0.080	0	0.900	0	0.904
Psme2	Uba52	5034353	5034113	ENSMUSP00000123798	ENSMUSP00000120096	0	0	0	0	0.087	0	0.900	0	0.904
H2-T23	Cd14	5031057	5024683	ENSMUSP00000099739	ENSMUSP00000056669	0	0	0	0	0.062	0	0.900	0.062	0.904
Odc1	Psme2	5035101	5034353	ENSMUSP00000128661	ENSMUSP00000123798	0	0	0	0	0.062	0	0.900	0.058	0.903
Aldoa	Cstb	5028656	5015818	ENSMUSP00000084846	ENSMUSP00000005185	0	0	0	0	0	0	0.900	0.078	0.903
H2-D1	Iqgap1	5036038	5035041	ENSMUSP00000134570	ENSMUSP00000128278	0	0	0	0	0.079	0	0.900	0	0.903
Uqcrq	Atp5j	5024138	5017869	ENSMUSP00000053145	ENSMUSP00000023608	0	0	0	0	0.852	0	0	0.375	0.903
H2-T23	H2-M2	5031057	5016452	ENSMUSP00000099739	ENSMUSP00000016427	0	0	0	0.958	0.068	0	0.900	0.112	0.903
Lgals3	H2-M2	5033731	5016452	ENSMUSP00000114350	ENSMUSP00000016427	0	0	0	0	0.069	0	0.900	0	0.902
Hectd1	Tceb2	5036330	5026018	ENSMUSP00000136449	ENSMUSP00000066210	0	0	0	0	0	0	0.900	0.066	0.902
Lgals1	Aplp2	5028869	5026844	ENSMUSP00000086795	ENSMUSP00000072428	0	0	0	0	0.061	0	0.900	0	0.902
C5ar1	H2-T23	5035368	5031057	ENSMUSP00000129972	ENSMUSP00000099739	0	0	0	0	0	0	0.900	0.066	0.902
Trip12	Wsb1	5018802	5016532	ENSMUSP00000027421	ENSMUSP00000017821	0	0	0	0	0.062	0	0.900	0	0.902
Uba52	Tgfbr1	5034113	5016048	ENSMUSP00000120096	ENSMUSP00000007757	0	0	0	0	0	0.058	0.900	0.046	0.902
Snrnp70	Ccar1	5027114	5016866	ENSMUSP00000074160	ENSMUSP00000020268	0	0	0	0	0.061	0	0.900	0.047	0.902
Lyz1	Cstb	5029183	5015818	ENSMUSP00000089800	ENSMUSP00000005185	0	0	0	0	0.062	0	0.900	0.048	0.902
Lyz2	Aldoa	5029184	5028656	ENSMUSP00000089801	ENSMUSP00000084846	0	0	0	0	0	0	0.900	0.069	0.902
Psap	Cd63	5031402	5031352	ENSMUSP00000101105	ENSMUSP00000100862	0	0	0	0	0.062	0	0.900	0	0.902
Tceb3	Paf1	5019674	5015658	ENSMUSP00000030427	ENSMUSP00000003529	0	0	0	0	0.062	0	0.900	0	0.902
Atp5k	Cox6a1	5023828	5023246	ENSMUSP00000051222	ENSMUSP00000047661	0	0	0	0	0.808	0	0	0.510	0.902
Lyz2	Cstb	5029184	5015818	ENSMUSP00000089801	ENSMUSP00000005185	0	0	0	0	0.062	0	0.900	0.048	0.902
Clip1	Smc3	5032498	5018409	ENSMUSP00000107192	ENSMUSP00000025930	0	0	0	0	0.062	0	0.900	0.045	0.902
Atp5k	Atp6v1f	5023828	5015748	ENSMUSP00000051222	ENSMUSP00000004396	0	0	0	0	0.476	0	0.720	0.390	0.902
Cd63	Bri3	5031352	5024761	ENSMUSP00000100862	ENSMUSP00000057263	0	0	0	0	0.062	0	0.900	0	0.902
Ftl1	Gns	5029444	5022477	ENSMUSP00000092002	ENSMUSP00000043167	0	0	0	0	0.060	0	0.900	0	0.901
Lyz2	Dync1h1	5029184	5016639	ENSMUSP00000089801	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0.054	0.901
Prpf40a	Luc7l3	5027373	5017139	ENSMUSP00000075655	ENSMUSP00000021226	0	0	0	0	0.246	0.365	0.540	0.605	0.901
C5ar1	H2-M2	5035368	5016452	ENSMUSP00000129972	ENSMUSP00000016427	0	0	0	0	0.059	0	0.900	0	0.901
Hmha1	Dync1h1	5030368	5016639	ENSMUSP00000097100	ENSMUSP00000018851	0	0	0	0	0	0.053	0.900	0	0.901
Socs3	Trip12	5025071	5018802	ENSMUSP00000059129	ENSMUSP00000027421	0	0	0	0	0	0.051	0.900	0	0.901
Psap	Cxcl2	5031402	5027242	ENSMUSP00000101105	ENSMUSP00000074885	0	0	0	0	0	0	0.900	0.052	0.901
Hmha1	Gns	5030368	5022477	ENSMUSP00000097100	ENSMUSP00000043167	0	0	0	0	0.054	0	0.900	0	0.901
Lyz1	Dync1h1	5029183	5016639	ENSMUSP00000089800	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0.054	0.901
Hectd1	Socs3	5036330	5025071	ENSMUSP00000136449	ENSMUSP00000059129	0	0	0	0	0	0.051	0.900	0	0.901
Aldoa	Cxcl2	5028656	5027242	ENSMUSP00000084846	ENSMUSP00000074885	0	0	0	0	0	0	0.900	0.057	0.901
Lyz1	Aldoa	5029183	5028656	ENSMUSP00000089800	ENSMUSP00000084846	0	0	0	0	0	0	0.900	0.058	0.901
Tceb2	Paf1	5026018	5015658	ENSMUSP00000066210	ENSMUSP00000003529	0	0	0	0	0	0	0.900	0	0.900
Tmed10	Dync1h1	5021538	5016639	ENSMUSP00000037583	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
Uba52	Runx3	5034113	5023689	ENSMUSP00000120096	ENSMUSP00000050353	0	0	0	0	0	0	0.900	0	0.900
Lgals3	H2-T23	5033731	5031057	ENSMUSP00000114350	ENSMUSP00000099739	0	0	0	0	0	0	0.900	0	0.900
Uba52	Cd14	5034113	5024683	ENSMUSP00000120096	ENSMUSP00000056669	0	0	0	0	0	0	0.900	0	0.900
Ftl1	Dync1h1	5029444	5016639	ENSMUSP00000092002	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
H2-Eb1	Dync1h1	5027110	5016639	ENSMUSP00000074143	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
H2afj	Taf1d	5027109	5020851	ENSMUSP00000074142	ENSMUSP00000034415	0	0	0	0	0	0	0.900	0	0.900
Cd68	Bri3	5031990	5024761	ENSMUSP00000104294	ENSMUSP00000057263	0	0	0	0	0	0	0.900	0	0.900
C5ar1	Iqgap2	5035368	5026197	ENSMUSP00000129972	ENSMUSP00000067685	0	0	0	0	0	0	0.900	0	0.900
Hmha1	Ftl1	5030368	5029444	ENSMUSP00000097100	ENSMUSP00000092002	0	0	0	0	0	0	0.900	0	0.900
Ctsc	Dync1h1	5020341	5016639	ENSMUSP00000032779	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
H2-DMa	Dync1h1	5021450	5016639	ENSMUSP00000037088	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
Psap	Bri3	5031402	5024761	ENSMUSP00000101105	ENSMUSP00000057263	0	0	0	0	0	0	0.900	0	0.900
Tceb2	Supt5	5026018	5015657	ENSMUSP00000066210	ENSMUSP00000003527	0	0	0	0	0	0	0.900	0	0.900
Iqgap2	H2-M2	5026197	5016452	ENSMUSP00000067685	ENSMUSP00000016427	0	0	0	0	0	0	0.900	0	0.900
C5ar1	Iqgap1	5035368	5035041	ENSMUSP00000129972	ENSMUSP00000128278	0	0	0	0	0	0	0.900	0	0.900
Runx3	Psmb1	5023689	5016329	ENSMUSP00000050353	ENSMUSP00000014913	0	0	0	0	0	0	0.900	0	0.900
Uba52	Fnbp1	5034113	5032868	ENSMUSP00000120096	ENSMUSP00000109190	0	0	0	0	0	0	0.900	0	0.900
Ndufa4	Atp5j	5020052	5017869	ENSMUSP00000031637	ENSMUSP00000023608	0	0	0	0	0.846	0.079	0	0.353	0.900
Uba52	Scp2	5034113	5019650	ENSMUSP00000120096	ENSMUSP00000030340	0	0	0	0	0	0	0.900	0	0.900
Aldoa	Pf4	5028656	5019947	ENSMUSP00000084846	ENSMUSP00000031320	0	0	0	0	0	0	0.900	0	0.900
Uba52	Paf1	5034113	5015658	ENSMUSP00000120096	ENSMUSP00000003529	0	0	0	0	0	0	0.900	0	0.900
Uba52	Socs3	5034113	5025071	ENSMUSP00000120096	ENSMUSP00000059129	0	0	0	0	0	0	0.900	0	0.900
Uba52	Itsn2	5034113	5024077	ENSMUSP00000120096	ENSMUSP00000052758	0	0	0	0	0	0	0.900	0	0.900
H2-Ab1	Dync1h1	5022126	5016639	ENSMUSP00000041008	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
Iqgap1	H2-M2	5035041	5016452	ENSMUSP00000128278	ENSMUSP00000016427	0	0	0	0	0	0	0.900	0	0.900
Iqgap1	H2-T23	5035041	5031057	ENSMUSP00000128278	ENSMUSP00000099739	0	0	0	0	0	0	0.900	0	0.900
Chd4	Taf1d	5025210	5020851	ENSMUSP00000060054	ENSMUSP00000034415	0	0	0	0	0	0	0.900	0	0.900
Zbed6	Srsf11	5036184	5033621	ENSMUSP00000136026	ENSMUSP00000113685	0	0	0	0	0	0	0.900	0	0.900
Tceb2	Supt16	5026018	5022348	ENSMUSP00000066210	ENSMUSP00000042283	0	0	0	0	0	0	0.900	0	0.900
H2-Aa	Dync1h1	5022978	5016639	ENSMUSP00000046105	ENSMUSP00000018851	0	0	0	0	0	0	0.900	0	0.900
Aff4	Paf1	5023869	5015658	ENSMUSP00000051479	ENSMUSP00000003529	0	0	0	0	0	0	0.900	0	0.900
Taf1d	Baz1b	5020851	5015577	ENSMUSP00000034415	ENSMUSP00000002825	0	0	0	0	0	0	0.900	0	0.900
Uba52	Wsb1	5034113	5016532	ENSMUSP00000120096	ENSMUSP00000017821	0	0	0	0	0	0	0.900	0	0.900
Tceb2	Supt6	5026018	5015506	ENSMUSP00000066210	ENSMUSP00000002121	0	0	0	0	0	0	0.900	0	0.900
Os9	Uba52	5035151	5034113	ENSMUSP00000128914	ENSMUSP00000120096	0	0	0	0	0	0	0.900	0	0.900
Iqgap2	Tyrobp	5026197	5020344	ENSMUSP00000067685	ENSMUSP00000032800	0	0	0	0	0	0	0.900	0	0.900
Cd36	Plaur	5035671	5015517	ENSMUSP00000131832	ENSMUSP00000002284	0	0	0	0	0	0	0.900	0	0.900
Psme2	Runx3	5034353	5023689	ENSMUSP00000123798	ENSMUSP00000050353	0	0	0	0	0	0	0.900	0	0.900
Iqgap2	Cd14	5026197	5024683	ENSMUSP00000067685	ENSMUSP00000056669	0	0	0	0	0	0	0.900	0	0.900
H2-D1	Iqgap2	5036038	5026197	ENSMUSP00000134570	ENSMUSP00000067685	0	0	0	0	0	0	0.900	0	0.900
H2-T23	Iqgap2	5031057	5026197	ENSMUSP00000099739	ENSMUSP00000067685	0	0	0	0	0	0	0.900	0	0.900
Tmed10	Ctsc	5021538	5020341	ENSMUSP00000037583	ENSMUSP00000032779	0	0	0	0	0.050	0	0.900	0	0.900
Calm1	Hsp90ab1	5032253	5018045	ENSMUSP00000105709	ENSMUSP00000024739	0	0	0	0	0	0.251	0.800	0.381	0.899
Myl12a	Myh9	5034330	5016470	ENSMUSP00000123412	ENSMUSP00000016771	0	0	0	0	0.279	0.314	0.600	0.551	0.899
Rpl35	Rps18	5028024	5016094	ENSMUSP00000079672	ENSMUSP00000008812	0.098	0	0	0	0.678	0.635	0	0.162	0.899
Prdx1	Prdx5	5033716	5018398	ENSMUSP00000114159	ENSMUSP00000025904	0	0	0	0	0.206	0.604	0	0.705	0.899
Zfc3h1	Pnisr	5022634	5019524	ENSMUSP00000044069	ENSMUSP00000029911	0	0	0	0	0.899	0	0	0	0.899
Bptf	Arid4a	5031630	5021177	ENSMUSP00000102374	ENSMUSP00000035512	0	0	0	0	0.793	0.354	0	0.302	0.898
C1qc	Tyrobp	5021383	5020344	ENSMUSP00000036747	ENSMUSP00000032800	0	0	0	0	0.844	0	0	0.353	0.895
Rps19	Eef1g	5031943	5029779	ENSMUSP00000104067	ENSMUSP00000093955	0	0	0	0	0.877	0	0	0.187	0.895
Cox8a	Ndufb8	5022079	5018490	ENSMUSP00000040717	ENSMUSP00000026222	0	0	0	0	0.828	0	0	0.412	0.894
Ndufb8	Atp5j	5018490	5017869	ENSMUSP00000026222	ENSMUSP00000023608	0	0	0	0	0.838	0	0	0.362	0.892
Ndufa13	Atp5k	5032274	5023828	ENSMUSP00000105796	ENSMUSP00000051222	0	0	0	0	0.875	0	0	0.168	0.892
Eif5a	Rps9	5023125	5015940	ENSMUSP00000047008	ENSMUSP00000006496	0.160	0	0	0	0.728	0.480	0	0.184	0.890
